,phrase,label,sentiment,subjectivity,language,count
Polish,Polish,NORP,,,en,6.9
one,one,CARDINAL,,,en,5.4
first,first,ORDINAL,,,en,3.3
winter,winter,DATE,,,en,2.8999999999999995
second,second,ORDINAL,,,en,2.6
morning,morning,TIME,,,en,2.4
Saturday,Saturday,DATE,,,en,2.4
Monday,Monday,DATE,,,en,2.4
two,two,CARDINAL,,,en,2.3
recent days,recent days,DATE,,,en,1.9
Four,Four,CARDINAL,,,en,1.9
Two,Two,CARDINAL,,,en,1.9
February 8,February 8,DATE,,,en,1.9
Japanese,Japanese,NORP,,,en,1.9
$2 billion,$2 billion,MONEY,,,en,1.9
today,today,DATE,,,en,1.9
30 years,30 years,DATE,,,en,1.8
French,French,NORP,,,en,1.7
recent years,recent years,DATE,,,en,1.7
37,37,CARDINAL,,,en,1.7
Sunday,Sunday,DATE,,,en,1.7
Chinese,Chinese,NORP,,,en,1.7
One,One,CARDINAL,,,en,1.7
years,years,DATE,,,en,1.7
Poles,Poles,NORP,,,en,1.3
Patagonian,Patagonian,NORP,,,en,1.0
Summer,Summer,DATE,,,en,1.0
the following hours,the following hours,TIME,,,en,1.0
a decade,a decade,DATE,,,en,1.0
10th,10th,ORDINAL,,,en,1.0
9 thousand,9 thousand,CARDINAL,,,en,1.0
over 40 degrees,over 40 degrees,QUANTITY,,,en,1.0
"about 68,000","about 68,000",CARDINAL,,,en,1.0
"Over 10,000","Over 10,000",CARDINAL,,,en,1.0
2000 kilometers,2000 kilometers,QUANTITY,,,en,1.0
A few days ago,A few days ago,DATE,,,en,1.0
approximately 190 million,approximately 190 million,CARDINAL,,,en,1.0
below -30 degrees Celsius,below -30 degrees Celsius,QUANTITY,,,en,1.0
summer,summer,DATE,,,en,1.0
"Thursday, February 12 this year","Thursday, February 12 this year",DATE,,,en,1.0
3.5 years,3.5 years,DATE,,,en,1.0
this year,this year,DATE,,,en,1.0
spring,spring,DATE,,,en,1.0
2050,2050,DATE,,,en,1.0
Fakty po Faktach,Fakty po Faktach,WORK_OF_ART,,,en,1.0
Russian,Russian,NORP,,,en,1.0
Israeli,Israeli,NORP,,,en,1.0
Several thousand,Several thousand,CARDINAL,,,en,1.0
-25 degrees Celsius,-25 degrees Celsius,QUANTITY,,,en,1.0
the current season,the current season,DATE,,,en,1.0
the beginning of February,the beginning of February,DATE,,,en,1.0
the end of January,the end of January,DATE,,,en,1.0
the end of 2025,the end of 2025,DATE,,,en,1.0
Nearly three weeks ago,Nearly three weeks ago,DATE,,,en,1.0
several thousand,several thousand,CARDINAL,,,en,1.0
"over 2,000 kilometers","over 2,000 kilometers",QUANTITY,,,en,1.0
nineteen,nineteen,CARDINAL,,,en,1.0
7,7,CARDINAL,,,en,1.0
three months,three months,DATE,,,en,1.0
windless week,windless week,DATE,,,en,1.0
two years,two years,DATE,,,en,1.0
several dozen centimeters,several dozen centimeters,QUANTITY,,,en,1.0
this winter,this winter,DATE,,,en,1.0
the winter of the century,the winter of the century,DATE,,,en,1.0
13 years,13 years,DATE,,,en,1.0
"at least 1,500","at least 1,500",CARDINAL,,,en,1.0
Up to 25 cm,Up to 25 cm,QUANTITY,,,en,1.0
between Christmas and New Year,between Christmas and New Year,DATE,,,en,1.0
Thousands,Thousands,CARDINAL,,,en,1.0
7.0,7.0,CARDINAL,,,en,1.0
almost 40,almost 40,CARDINAL,,,en,1.0
This year,This year,DATE,,,en,1.0
over 400 meters,over 400 meters,QUANTITY,,,en,1.0
the holidays,the holidays,DATE,,,en,1.0
Vibe,Vibe,FAC,,,en,1.0
several dozen meters,several dozen meters,QUANTITY,,,en,1.0
963,963,CARDINAL,,,en,1.0
Winter,Winter,DATE,,,en,1.0
500,500,CARDINAL,,,en,1.0
60 years,60 years,DATE,,,en,1.0
"1,000","1,000",CARDINAL,,,en,1.0
Australian,Australian,NORP,,,en,1.0
Prince of Persia:,Prince of Persia:,WORK_OF_ART,,,en,1.0
Stocznia Wojewódzki,Stocznia Wojewódzki,PRODUCT,,,en,1.0
6,6,CARDINAL,,,en,1.0
six,six,CARDINAL,,,en,1.0
three,three,CARDINAL,,,en,1.0
Pole,Pole,PRODUCT,,,en,1.0
seventh,seventh,ORDINAL,,,en,1.0
decades,decades,DATE,,,en,1.0
up to four meters,up to four meters,QUANTITY,,,en,1.0
over 30 years,over 30 years,DATE,,,en,1.0
the Spanish Super Cup,the Spanish Super Cup,EVENT,,,en,1.0
At least 35,At least 35,CARDINAL,,,en,1.0
daily,daily,DATE,,,en,1.0
Mar,Mar,DATE,,,en,1.0
Tuesday,Tuesday,DATE,,,en,1.0
"1,500 percent","1,500 percent",PERCENT,,,en,1.0
12 years ago,12 years ago,DATE,,,en,1.0
